Fitness,all
0.6666667, 0.6666667
0.5, 0.5
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.7, 0.7
0.3333333, 0.3333333
0.75, 0.75
-0.5, -0.5
1, 1
1, 1
0.8, 0.8
1, 1
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
0.7857143, 0.7857143
1, 1
1, 1
0, 0
0, 0
-0.1333334, -0.1333334
1, 1
0.8, 0.8
0.6666666, 0.6666666
0.6666667, 0.6666667
0.6666667, 0.6666667
0, 0
0.5238096, 0.5238096
0, 0
0, 0
0.7857143, 0.7857143
1, 1
-0.3333333, -0.3333333
0.2333333, 0.2333333
1, 1
1, 1
1, 1
0.75, 0.75
0, 0
0.6, 0.6
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6, 0.6
1, 1
0.8, 0.8
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.4666666, 0.4666666
0.75, 0.75
0, 0
0.3333333, 0.3333333
0, 0
0.5, 0.5
1, 1
1, 1
0, 0
1, 1
1, 1
1, 1
0.3333333, 0.3333333
0.4666667, 0.4666667
0.7, 0.7
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0.3333333, 0.3333333
0.8, 0.8
1, 1
0.8, 0.8
0.875, 0.875
0.6666667, 0.6666667
1, 1
1, 1
0.7857143, 0.7857143
0.8095238, 0.8095238
1, 1
0, 0
1, 1
1, 1
0.8, 0.8
1, 1
1, 1
0.8, 0.8
0.7, 0.7
1, 1
1, 1
1, 1
0, 0
1, 1
1, 1
0.8, 0.8
1, 1
0.6666667, 0.6666667
0.6666666, 0.6666666
0.8, 0.8
1, 1
0.8, 0.8
1, 1
0.6666666, 0.6666666
0.5, 0.5
1, 1
1, 1
0.5, 0.5
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.8, 0.8
1, 1
1, 1
0.45, 0.45
1, 1
1, 1
0.6666667, 0.6666667
0, 0
0, 0
1, 1
0.5714286, 0.5714286
0.7, 0.7
0.6666667, 0.6666667
1, 1
1, 1
0.5, 0.5
0.7, 0.7
0.25, 0.25
0.5555556, 0.5555556
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
0.8, 0.8
1, 1
0.4166667, 0.4166667
0.6666667, 0.6666667
0, 0
0.5, 0.5
1, 1
1, 1
-0.6, -0.6
1, 1
1, 1
0.8333334, 0.8333334
0.5, 0.5
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
0.7, 0.7
0.5, 0.5
1, 1
0.3333333, 0.3333333
1, 1
1, 1
1, 1
0, 0
-0.6, -0.6
0.8, 0.8
1, 1
1, 1
1, 1
0.3333334, 0.3333334
0.8333334, 0.8333334
1, 1
0.6666667, 0.6666667
0.8, 0.8
0.5555556, 0.5555556
1, 1
0.6666667, 0.6666667
0.8, 0.8
1, 1
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.4666666, 0.4666666
0.6666667, 0.6666667
0, 0
0.5, 0.5
0.8333334, 0.8333334
0.6666667, 0.6666667
0.5, 0.5
1, 1
1, 1
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.8, 0.8
1, 1
1, 1
1, 1
0.6, 0.6
1, 1
1, 1
0.3333333, 0.3333333
1, 1
1, 1
0.6666667, 0.6666667
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.8095238, 0.8095238
1, 1
0.75, 0.75
0.5, 0.5
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0.8333334, 0.8333334
0, 0
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.7, 0.7
0.5, 0.5
1, 1
0.2, 0.2
-0.3333333, -0.3333333
1, 1
1, 1
1, 1
1, 1
1, 1
0.75, 0.75
1, 1
1, 1
0.6666667, 0.6666667
1, 1
0.8095238, 0.8095238
0.6666667, 0.6666667
0.5, 0.5
1, 1
0, 0
0, 0
0.8, 0.8
1, 1
0.5, 0.5
0.5, 0.5
0.8095238, 0.8095238
1, 1
1, 1
0.4666667, 0.4666667
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.8, 0.8
1, 1
0, 0
0, 0
1, 1
1, 1
0.5, 0.5
1, 1
-0.3333333, -0.3333333
0.5, 0.5
0.4666666, 0.4666666
1, 1
0.8, 0.8
0.6666667, 0.6666667
1, 1
0.3333333, 0.3333333
1, 1
0.75, 0.75
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
1, 1
1, 1
0.3333334, 0.3333334
0.8, 0.8
0.3333334, 0.3333334
1, 1
1, 1
0.6666667, 0.6666667
0.75, 0.75
0.6666667, 0.6666667
0.3333334, 0.3333334
0.6666667, 0.6666667
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
0.4666666, 0.4666666
0.3333333, 0.3333333
0.6, 0.6
0.3333333, 0.3333333
1, 1
1, 1
1, 1
1, 1
0.8, 0.8
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.75, 0.75
1, 1
1, 1
1, 1
0.3333333, 0.3333333
1, 1
0.7333333, 0.7333333
0, 0
0.4666666, 0.4666666
1, 1
1, 1
0.6, 0.6
0.3, 0.3
1, 1
-3.72529E-08, -3.72529E-08
1, 1
0.8, 0.8
0.75, 0.75
1, 1
1, 1
0, 0
0.2, 0.2
0, 0
0.06666663, 0.06666663
0.6666667, 0.6666667
0.1428572, 0.1428572
1, 1
0.3333333, 0.3333333
1, 1
1, 1
0.75, 0.75
1, 1
1, 1
0.75, 0.75
0.6666667, 0.6666667
1, 1
1, 1
0.1666667, 0.1666667
0.8333334, 0.8333334
0.5, 0.5
1, 1
1, 1
0, 0
0.5, 0.5
1, 1
0.6666667, 0.6666667
0.5, 0.5
-0.2, -0.2
0.5, 0.5
0.5, 0.5
1, 1
1, 1
0.6666667, 0.6666667
0.5, 0.5
1, 1
0.4, 0.4
1, 1
0.25, 0.25
1, 1
0.6, 0.6
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.7142857, 0.7142857
0.6666667, 0.6666667
0.6666667, 0.6666667
0.5, 0.5
0.0857143, 0.0857143
1, 1
0, 0
0, 0
1, 1
0.2, 0.2
1, 1
0.5, 0.5
1, 1
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
0.2857143, 0.2857143
1, 1
0.5, 0.5
-0.2, -0.2
1, 1
1, 1
0.25, 0.25
0.3333333, 0.3333333
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.2, 0.2
1, 1
0.75, 0.75
1, 1
0.3333333, 0.3333333
1, 1
0.6666667, 0.6666667
0.8, 0.8
1, 1
1, 1
1, 1
0.75, 0.75
0.6, 0.6
0.2, 0.2
-0.2, -0.2
1, 1
1, 1
0.6666666, 0.6666666
0.5, 0.5
0.7142857, 0.7142857
0.75, 0.75
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.8, 0.8
0.8, 0.8
1, 1
0.75, 0.75
1, 1
0, 0
1, 1
1, 1
0.3333333, 0.3333333
0.6, 0.6
0.5, 0.5
0.6, 0.6
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.6666666, 0.6666666
0.75, 0.75
1, 1
1, 1
0.8333334, 0.8333334
1, 1
0.1666667, 0.1666667
1, 1
1, 1
1, 1
0.5333333, 0.5333333
1, 1
0.75, 0.75
0.6, 0.6
1, 1
0.625, 0.625
1, 1
0, 0
1, 1
1, 1
0.5, 0.5
0.2, 0.2
0.1666667, 0.1666667
1, 1
1, 1
0.2, 0.2
0.3333333, 0.3333333
0, 0
0.75, 0.75
0.6, 0.6
0.75, 0.75
0, 0
0, 0
0.5, 0.5
0.75, 0.75
0.6666667, 0.6666667
0.3333333, 0.3333333
1, 1
1, 1
1, 1
0.3333334, 0.3333334
0.5, 0.5
1, 1
1, 1
0.6, 0.6
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6, 0.6
0.5, 0.5
0.8, 0.8
0.1666667, 0.1666667
0.6, 0.6
0.8, 0.8
0.5333333, 0.5333333
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
0, 0
0.5, 0.5
1, 1
1, 1
0.3333333, 0.3333333
1, 1
1, 1
0.2, 0.2
1, 1
1, 1
1, 1
1, 1
0, 0
0.3333333, 0.3333333
0.6666667, 0.6666667
0.7916667, 0.7916667
0.7142857, 0.7142857
0.3333334, 0.3333334
1, 1
0.7142857, 0.7142857
1, 1
1, 1
0, 0
0.75, 0.75
0.5238096, 0.5238096
0, 0
0.3333334, 0.3333334
1, 1
1, 1
0, 0
-0.5, -0.5
0, 0
0.5714286, 0.5714286
0, 0
1, 1
1, 1
0.4666666, 0.4666666
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.625, 0.625
1, 1
0.6666667, 0.6666667
1, 1
0.25, 0.25
1, 1
1, 1
0.7333333, 0.7333333
0.75, 0.75
0.8, 0.8
0.6666667, 0.6666667
0, 0
0.3333334, 0.3333334
-0.5, -0.5
0.5, 0.5
1, 1
1, 1
0, 0
0, 0
1, 1
0.6666667, 0.6666667
0, 0
0.5, 0.5
1, 1
0.5, 0.5
0.6666667, 0.6666667
1, 1
1, 1
0.3333333, 0.3333333
1, 1
1, 1
0.75, 0.75
1, 1
0.8333334, 0.8333334
1, 1
0.5333333, 0.5333333
0.75, 0.75
1, 1
0.5238096, 0.5238096
0.75, 0.75
0.6666667, 0.6666667
1, 1
1, 1
0.6666667, 0.6666667
0.4285715, 0.4285715
0.6666667, 0.6666667
1, 1
0.8, 0.8
1, 1
0.6666667, 0.6666667
0.3333333, 0.3333333
0.6, 0.6
0.6, 0.6
1, 1
1, 1
0.5238096, 0.5238096
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.8333334, 0.8333334
0, 0
0, 0
1, 1
0.6666667, 0.6666667
0.2, 0.2
0, 0
0.8, 0.8
1, 1
0.75, 0.75
1, 1
0, 0
0, 0
0.75, 0.75
1, 1
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
1, 1
0, 0
0.6666666, 0.6666666
0.8333334, 0.8333334
0.5, 0.5
1, 1
0.2, 0.2
0.3333334, 0.3333334
0.3333333, 0.3333333
1, 1
0.4666666, 0.4666666
1, 1
0.07142857, 0.07142857
0.3333333, 0.3333333
0.8, 0.8
0.8333334, 0.8333334
0.6666667, 0.6666667
0.6666667, 0.6666667
0.7777778, 0.7777778
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
1, 1
1, 1
