,Fitness,all,run
9700,0.7781513,0.7781513,6
9800,0.7781513,0.7781513,6
9900,0.7781513,0.7781513,6
10001,0.7781513,0.7781513,6
0,0.0,0.0,7
153,0.30103,0.30103,7
200,0.0,0.0,7
300,0.0,0.0,7
400,0.0,0.0,7
500,0.0,0.0,7
600,0.0,0.0,7
700,0.0,0.0,7
800,0.0,0.0,7
900,0.0,0.0,7
1000,0.0,0.0,7
1100,0.0,0.0,7
1200,0.0,0.0,7
1300,0.0,0.0,7
1455,0.30103,0.30103,7
1500,0.0,0.0,7
1600,0.0,0.0,7
1700,0.0,0.0,7
1800,0.0,0.0,7
1900,0.30103,0.30103,7
2000,0.30103,0.30103,7
2100,0.30103,0.30103,7
2200,0.30103,0.30103,7
2301,0.30103,0.30103,7
2400,0.30103,0.30103,7
2514,0.4771213,0.4771213,7
2639,0.4771213,0.4771213,7
2702,0.4771213,0.4771213,7
2808,0.4771213,0.4771213,7
2901,0.4771213,0.4771213,7
3002,0.4771213,0.4771213,7
3100,0.4771213,0.4771213,7
3214,0.60206,0.60206,7
3311,0.60206,0.60206,7
3402,0.60206,0.60206,7
3501,0.60206,0.60206,7
3600,0.60206,0.60206,7
3700,0.60206,0.60206,7
3800,0.60206,0.60206,7
3901,0.60206,0.60206,7
4063,0.69897,0.69897,7
4114,0.69897,0.69897,7
4243,0.69897,0.69897,7
4393,0.69897,0.69897,7
4415,0.69897,0.69897,7
4523,0.69897,0.69897,7
4609,0.69897,0.69897,7
4701,0.69897,0.69897,7
4803,0.69897,0.69897,7
4907,0.69897,0.69897,7
5000,0.69897,0.69897,7
5114,0.69897,0.69897,7
5200,0.69897,0.69897,7
5300,0.69897,0.69897,7
5401,0.69897,0.69897,7
5561,0.7781513,0.7781513,7
5619,0.7781513,0.7781513,7
5796,0.7781513,0.7781513,7
5841,0.7781513,0.7781513,7
5908,0.7781513,0.7781513,7
6034,0.7781513,0.7781513,7
6144,0.7781513,0.7781513,7
6257,0.7781513,0.7781513,7
6300,0.7781513,0.7781513,7
6428,0.7781513,0.7781513,7
6512,0.7781513,0.7781513,7
6607,0.7781513,0.7781513,7
6701,0.7781513,0.7781513,7
6802,0.7781513,0.7781513,7
6911,0.7781513,0.7781513,7
7006,0.7781513,0.7781513,7
7105,0.7781513,0.7781513,7
7203,0.7781513,0.7781513,7
7302,0.7781513,0.7781513,7
7400,0.7781513,0.7781513,7
7501,0.7781513,0.7781513,7
7602,0.7781513,0.7781513,7
7700,0.7781513,0.7781513,7
7800,0.7781513,0.7781513,7
7900,0.7781513,0.7781513,7
8000,0.7781513,0.7781513,7
8106,0.7781513,0.7781513,7
8202,0.7781513,0.7781513,7
8304,0.7781513,0.7781513,7
8406,0.7781513,0.7781513,7
8500,0.7781513,0.7781513,7
8601,0.7781513,0.7781513,7
8704,0.7781513,0.7781513,7
8800,0.7781513,0.7781513,7
8901,0.7781513,0.7781513,7
9000,0.7781513,0.7781513,7
9101,0.7781513,0.7781513,7
9205,0.7781513,0.7781513,7
9303,0.7781513,0.7781513,7
9401,0.7781513,0.7781513,7
9501,0.7781513,0.7781513,7
9600,0.7781513,0.7781513,7
9704,0.7781513,0.7781513,7
9806,0.7781513,0.7781513,7
9900,0.7781513,0.7781513,7
10000,0.7781513,0.7781513,7
0,0.0,0.0,8
100,0.0,0.0,8
200,0.0,0.0,8
300,0.0,0.0,8
400,0.0,0.0,8
500,0.0,0.0,8
600,0.0,0.0,8
700,0.0,0.0,8
800,0.0,0.0,8
900,0.0,0.0,8
1001,0.0,0.0,8
1148,0.0,0.0,8
1231,0.0,0.0,8
1364,0.0,0.0,8
1406,0.0,0.0,8
1587,0.0,0.0,8
1632,0.30103,0.30103,8
1786,0.30103,0.30103,8
1800,-1.0,-1.0,8
1900,-1.0,-1.0,8
2000,-1.0,-1.0,8
2138,0.0,0.0,8
2203,0.0,0.0,8
2348,0.0,0.0,8
2418,0.0,0.0,8
2504,0.0,0.0,8
2698,0.0,0.0,8
2707,0.0,0.0,8
2808,0.0,0.0,8
2931,0.30103,0.30103,8
3036,0.0,0.0,8
3127,0.0,0.0,8
3285,0.0,0.0,8
3353,0.0,0.0,8
3438,0.0,0.0,8
3500,-1.0,-1.0,8
3618,0.0,0.0,8
3785,0.30103,0.30103,8
3800,-1.0,-1.0,8
3913,0.0,0.0,8
4000,-1.0,-1.0,8
4100,-1.0,-1.0,8
4200,-1.0,-1.0,8
4303,0.0,0.0,8
4400,-1.0,-1.0,8
